
tvbus土星港澳
**JStar极限电影台,tvbus://6FPNBzRsYXHBDN6wicZW2dmNv4z7jZJdekBKaeTZbxFu63sSCSjYd6GZaCZBR 
民視台灣台HD,tvbus://5qUwVXwdT4DdpcNKXRi77
中视新闻HD,tvbus://5R9W8Pyu2dnVpue6Jsfx7
台視財經台,tvbus://5QKsG2nutAoqFyBrLsWUU
台視綜合台,tvbus://6Z9NPPR697ZRRs1JyrvJk
唯心電視,tvbus://6CMNBstbRzcdJbY7gDd6L
nba,tvbus://6jVrf9r92hKsQCPqqCiEg
Eleven_Sport2,tvbus://6SxHQswLudukLP996c4Uc
FOX_CRIME,tvbus://5SfH5CqHH7Caop9yq7RPo
亞洲美食頻道,tvbus://5cnGsb1zt9JnveQhexaWW
BBC_Lifestyle_Channel,tvbus://5wefCvSVvkt2zhp4HDBEW
TVBS精采台,tvbus://6XbZPjUSREcXYoh1NWQ6L
博斯運動一台,tvbus://5PWUSk5i67uQNx1TYcu9K
探索亞洲,tvbus://5VBcbUCJXNi2HkYD1f5MX
DMAX,tvbus://874a6KPRGw
博斯運動2,tvbus://8RXsBA2c75
H2,tvbus://65uc4WnPyY6F6seDNVLob
罪案偵緝頻道,tvbus://5cBuWJcyHBKyH8t8vCKZ9
韓國娛樂台KMTV,tvbus://5NW3FFM1tRx9FiZW5KWX2
HBO原創,tvbus://6c6yvoNhChui1kDJuVTNn
HBO強檔,tvbus://6Kq4EfNGSDQKVthowXmS7
HBO家庭,tvbus://5VXd5wEuHpXJUaSUnebQ5
tvN,tvbus://65KYwFzVqS88CUAqVYKj9
星衛娛樂台,tvbus://6XMK9ZQymVRsT43shjgXz
星衛電影台,tvbus://5ixd4eARkmWRUdmjnAu17
FX,tvbus://5mNudv1NY7oPmaoFhPdfh
FOX_SPORTS_3,tvbus://6HB6UMpUbJzpUEwF6YbaR
緯來精采台,tvbus://7FCw8bqAmB
國家地理野生頻道,tvbus://5oRJxmZ4F1mga6wmLhCEk
國家地理悠人頻道,tvbus://5rcm8hf7wJMULKec5YcP7
Golf_Channel_(博斯高球),tvbus://61gn94JLNN2gxHHPZGD5N
Golf_Plus_(博斯高球二台),tvbus://5sBm5icQbDAZimzmUUCDW
博斯網球,tvbus://5ZjaFSgh4BXSSVPJLgRyb
 博斯無限 ,tvbus://6UKxSYxrqMVTE7RkrLjrL
歷史頻道,tvbus://5e5WsYxPHbGNzugLb4WNb
台視新聞,tvbus://6ZmEsG1fAYZVjYz1Zv4p9
土星cctv
cctv1,tvbus://69Mb4nuPDqZ22UV9cSgDH
cctv2,tvbus://6TgMRPM93iM23VTMwx8oQ
cctv3,tvbus://6UNvStCaUueHCHHdrNDWN
cctv4,tvbus://6aqXDRT6Umyq3rZgsHdZq
cctv5,tvbus://6Z4Xm9BjkipsiQEh6zMkq
cctv5+,tvbus://5LWTgtTEr5LxFUNxRJvUa
cctv6,tvbus://69ntY4w2kzTABiqTh7TaJ
cctv7,tvbus://5R9NXxWHR5dKpnGGQnv7t
cctv8,tvbus://6Ti39MxCExN1V2w77vrat
cctv9,tvbus://63oRKWpzcLjkLhRTZiFjz
cctv10,tvbus://6g8h6zTB389w1bmbzWpwS
